 US1.5y 3m - 3m Spread,US 10Y - 2Y Yield Spread,US 10Y - 1Y Yield Spread, US 10Y - 3m Spread,US 30Y - 5Y Spread,Real US 30Y - 5Y Spread
0.887300423,1.566968892,1.611360368,1.621756432,1.072316658,0.631424082
0.47741293,1.454608653,1.425116062,1.375603784,1.206097836,0.797334801
0.185644785,1.207332022,1.146034039,1.070793744,1.339068764,0.963245519
0.072677654,1.20022993,1.108214275,1.030943085,1.375054126,0.797334801
-0.252866136,1.173608765,1.003795969,0.914159508,1.793863036,1.178929453
-0.014719213,1.355915268,1.217376559,1.150811742,1.981107812,1.278475884
0.526454404,1.79668887,1.72264576,1.698444178,1.528615678,1.046200878
0.493251227,1.900533607,1.82396575,1.766050346,1.596650905,1.427795531
1.117623609,1.95282977,2.020845913,1.994775354,1.415862401,1.378022315
0.933288731,1.853914446,1.886602512,1.862423358,1.426035533,1.543933034
1.176015403,1.84829585,1.93015162,1.93410551,1.345679371,1.460977674
0.640948117,1.732139262,1.705985966,1.671076858,1.491125567,1.759616968
0.144045402,1.692236717,1.539347393,1.503951305,1.754186538,1.842572327
0.117711848,1.696780654,1.530661952,1.503093203,1.844664387,1.759616968
-0.373466181,1.086876799,0.896066022,0.80924634,1.706240351,1.3282491
-0.433002912,0.730884424,0.571382892,0.477416307,1.27806856,1.145747309
-0.198481623,0.843046086,0.730453448,0.646554313,0.987227611,0.946654447
-0.277100639,0.722041852,0.605261192,0.518574549,1.039790932,0.963245519
-0.252293668,0.683202285,0.572601901,0.494455758,1.015933589,0.847108016
-0.367741495,0.662480062,0.534731345,0.430884712,1.137895415,1.013018735
-0.409340878,0.645460739,0.513581534,0.397980591,1.261297684,1.295066956
-0.214892388,0.806168939,0.686020559,0.610248432,1.245465668,1.411204459
-0.381289918,0.7086203,0.559009947,0.475260836,1.277657005,1.3282491
-0.467160203,0.440282695,0.301514547,0.22104816,1.109163714,1.245293741
-0.422316832,0.220795337,0.126474969,0.040846769,0.882808327,0.830516945
-0.572303596,0.145580909,0.023631216,-0.071329618,0.865844535,0.813925873
-0.515247562,0.317561344,0.19237258,0.092179648,0.975909841,1.013018735
-0.561426693,0.369156643,0.231482462,0.117279128,1.166704282,1.427795531
-0.48700578,0.366434953,0.247634336,0.138312839,1.156441123,1.378022315
-0.506469711,0.286933571,0.166326415,0.069204992,1.0753776,1.129156238
-0.446360512,0.370803674,0.251291364,0.162901543,1.136776499,1.129156238
-0.42021778,0.570643468,0.441822519,0.332427738,1.254172633,1.361431243
-0.483952614,0.669418619,0.517583947,0.392086249,1.312819256,1.51075089
-0.482807677,0.648696396,0.499501976,0.376476967,1.346335287,1.660070537
-0.471930774,0.430050075,0.310413315,0.191004379,1.183307964,1.344840172
-0.360108581,0.631420089,0.509426744,0.401985067,1.251227441,1.344840172
-0.130930332,0.973897463,0.86615966,0.774442137,1.161456953,1.245293741
-0.016818265,1.269089854,1.152129086,1.063367077,1.160016509,1.228702669
-0.004414779,1.461956047,1.327625793,1.229695821,1.216373856,1.195520525
0.236212841,1.484313621,1.404199894,1.325680643,1.144415993,1.029609807
-0.069103727,1.3299132,1.199477439,1.096781972,1.303726457,1.212111597
-0.238936068,1.49301602,1.306770575,1.182071167,1.461660784,1.394613387
-0.077118287,1.655277802,1.48477641,1.373387021,1.292768799,1.079383022
0.133931791,1.560474216,1.454504345,1.34692888,1.074181518,0.797334801
-0.084560378,1.453884426,1.303022122,1.190682832,1.094694975,1.013018735
0.12782546,1.396401867,1.308060693,1.207804008,0.88586927,0.69778837
0.291933115,1.346231659,1.309005426,1.20600608,0.665211351,0.482104436
0.194613459,1.216957226,1.174690916,1.059628204,0.648337586,0.614833011
0.413868919,1.184495525,1.207218148,1.098212141,0.571466782,0.581650867
0.623964883,1.056751313,1.143514753,1.044764654,0.441518213,0.332784789
0.496686038,0.953373818,1.02565687,0.91810269,0.349972892,0.100509784
0.843601989,0.971771508,1.130390086,1.036040618,0.238158476,-0.164947366
0.400702142,0.841527546,0.899347188,0.802330447,0.254170547,-0.247902725
0.671479774,0.775926641,0.905066374,0.832762417,0.157082092,-0.330858084
0.950271965,0.512121293,0.710807082,0.711994795,-0.144189211,-0.878363455
0.65316078,0.23748759,0.397867075,0.37846899,-0.273494725,-0.92813667
0.860012755,0.277635437,0.468711833,0.48609948,-0.261443873,-0.712452737
0.895505806,0.313671547,0.502041579,0.540885198,-0.24786255,-0.596315234
0.560993341,0.304116429,0.405963328,0.428238898,-0.085979866,-0.231311653
0.831770972,0.534782574,0.67757892,0.713251302,0.153030845,0.017554424
1.031180856,0.635076265,0.807931648,0.880948922,0.165454669,0.050736568
0.893406754,0.614669431,0.744756491,0.822495841,0.182071212,-0.131765222
0.776432344,0.394399441,0.499634035,0.625510386,0.018400834,-0.463586659
0.953325131,0.372929629,0.506135418,0.675096415,0.204076557,-0.231311653
0.875660229,0.340210944,0.510808287,0.572675829,0.259443599,-0.065400935
1.205020477,0.289912245,0.503931043,0.674299606,0.073600682,-0.330858084
1.093961575,0.149435663,0.302408487,0.549813543,-0.041840565,-0.413813443
0.937486834,0.055776821,0.253820808,0.358773509,0.049035978,-0.19812951
0.202246373,-0.107851647,-0.054476805,-0.022090916,0.124067644,-0.164947366
0.538667067,-0.138794809,-0.062827019,0.112436981,0.008279147,-0.048809863
0.452987605,-0.119264055,-0.049854728,0.08586647,0.083748091,0.050736568
0.49611357,-0.175438334,-0.086770393,0.048794427,0.027712272,0.050736568
0.221328659,-0.261808186,-0.207492949,-0.1118545,-0.02029822,0.06732764
0.017529849,-0.360478208,-0.318178994,-0.291116065,-0.181666461,-0.19812951
0.166180853,-0.369717937,-0.312205849,-0.227728898,-0.222384708,-0.430404515
0.240220121,-0.32129989,-0.270596998,-0.150203481,-0.171313274,-0.397222372
0.327998635,-0.255827477,-0.201651863,-0.051491121,-0.09572858,-0.164947366
0.473214827,0.036152619,0.121324654,0.220823419,-0.046509145,-0.19812951
0.945119748,0.197666813,0.341030766,0.512486112,-0.190051899,-0.264493797
1.039767884,0.106694618,0.320368558,0.437003795,-0.257971376,-0.264493797
1.029272627,0.095842901,0.312638007,0.41209841,-0.22275768,-0.214720581
0.668235785,0.044037343,0.177764785,0.258998736,-0.298573873,-0.397222372
0.218657139,-0.094289921,-0.049946154,-0.001220653,-0.236609086,-0.364040228
0.115421974,-0.158991383,-0.12796275,-0.088838983,-0.231130257,-0.247902725
-0.094483167,-0.337665073,-0.321480478,-0.300258936,-0.360847327,-0.430404515
-0.157263886,-0.22449884,-0.2120236,-0.253553678,-0.377541037,-0.446995587
-0.245424045,-0.305016475,-0.332959482,-0.32083295,-0.367766599,-0.463586659
-0.141807235,-0.37127152,-0.385447991,-0.336728266,-0.412883344,-0.496768803
0.128397928,-0.373245621,-0.341919201,-0.221681323,-0.517238321,-0.596315234
0.113513745,-0.560563305,-0.514642662,-0.384117962,-0.711839648,-0.795408096
0.292505583,-0.668823487,-0.603345906,-0.417716736,-0.918671882,-1.110638461
0.5823655,-0.681999738,-0.5261623,-0.345370577,-1.038447321,-1.160411676
0.548017387,-0.522915207,-0.408111406,-0.218024175,-0.993317715,-1.143820604
0.474932233,-0.662982951,-0.528569843,-0.371563115,-1.084335731,-1.110638461
0.63713166,-0.7573777,-0.586990864,-0.398041687,-1.202670726,-1.276549179
0.669953191,-0.780307646,-0.596834364,-0.404099477,-1.27183773,-1.309731323
0.533133204,-0.877774518,-0.715748723,-0.508174974,-1.322266109,-1.37609561
0.61442374,-0.994386668,-0.801394285,-0.591727535,-1.384218035,-1.508824185
0.443255639,-1.032069809,-0.862842513,-0.675729578,-1.328606632,-1.525415257
0.539239535,-1.04928771,-0.865361799,-0.662674171,-1.347833978,-1.5585974
0.479702804,-0.983675124,-0.800926998,-0.624294544,-1.242051419,-1.409277754
0.232205561,-1.027887985,-0.895227527,-0.750772629,-1.145670324,-1.409277754
-0.372893712,-1.1480395,-1.145154911,-1.074614142,-1.146133324,-1.5585974
-0.807588176,-1.136218254,-1.200447141,-1.216466553,-1.040865208,-1.276549179
-0.896320804,-1.133041002,-1.199482092,-1.269004861,-0.995324047,-1.127229533
-1.200683258,-1.144465091,-1.246566327,-1.389966577,-0.901425145,-0.977909886
-1.243427577,-1.114164388,-1.218935449,-1.407332924,-0.899110147,-0.944727742
-1.575840991,-1.114584907,-1.281186191,-1.519305001,-0.870314141,-1.01109203
-2.091444346,-1.036286676,-1.260046538,-1.657285737,-0.717434227,-0.894954527
-1.817231903,-1.071832181,-1.238713875,-1.605186696,-0.722179974,-0.878363455
-2.153080128,-1.270772532,-1.483683955,-1.882925665,-0.868989447,-1.110638461
-1.817995194,-1.276753241,-1.444787399,-1.765927562,-0.912035554,-1.177002748
-1.323000708,-1.152957231,-1.236621243,-1.491212381,-0.827872506,-1.027683101
-0.821518245,-1.096035363,-1.077581161,-1.26653271,-0.860282482,-0.994500958
-0.723816943,-1.038272458,-1.00784367,-1.213820739,-0.888731238,-0.977909886
-1.038483831,-1.046075415,-1.098832557,-1.299620709,-0.835820666,-0.878363455
-1.476613106,-1.131989706,-1.235199065,-1.556775449,-0.852720154,-0.828590239
-0.358391175,-0.839554048,-0.782509799,-0.934304273,-0.585543631,-1.342913466
-0.68622484,-0.82607409,-0.858789307,-1.003330395,-0.551834684,-1.326322395
-0.865216679,-0.743675802,-0.816662377,-0.964419562,-0.348449225,-1.160411676
-0.898992324,-0.699836736,-0.773854833,-0.940576589,-0.203363139,-0.729043808
-0.928569866,-0.780085706,-0.849687371,-1.016416448,-0.347844753,-0.513359874
-0.882199913,-0.73591957,-0.802206958,-0.961457067,-0.27517953,-0.19812951
-0.900137261,-0.696893105,-0.769557825,-0.935407546,-0.193061397,-0.214720581
-0.852049902,-0.592966601,-0.667364211,-0.825315121,-0.091664472,-0.181538438
-0.74633404,-0.508103607,-0.564774419,-0.723538111,-0.100731549,-0.11517415
-0.824189765,-0.402132914,-0.488992674,-0.659119178,-0.026883104,0.166874071
-0.827624576,-0.242148941,-0.352616007,-0.518564136,0.089612753,0.548468723
-0.752631194,-0.010571672,-0.135876152,-0.288194433,0.251598327,1.029609807
-0.61733779,0.375814854,0.228414622,0.09292538,0.270182618,1.212111597
-0.519064019,0.377356756,0.257223876,0.119077055,0.175614939,1.112565166
-0.520781425,0.377637102,0.261520883,0.113989737,0.249501967,1.278475884
-0.4228893,0.203612479,0.140930387,-0.009985551,0.023995413,0.747561585
-0.403616192,-0.046444247,-0.066433255,-0.228515492,-0.159275283,0.648015154
-0.422507655,-0.083776956,-0.100606149,-0.267589773,-0.205343749,0.598241939
-0.320035781,-0.004193807,-0.013843161,-0.165424574,-0.294522626,0.465513364
0.148052682,0.069455357,0.170603106,0.037536948,-0.439891657,0.498695508
0.504318953,-0.108949668,0.079593902,0.015961815,-0.749214009,0.482104436
0.919931131,-0.401385325,-0.133133381,-0.086091013,-0.879226884,0.083918712
1.425420874,-0.404363999,-0.079689981,0.136872454,-0.959518741,0.117100855
2.044831862,-0.749235993,-0.366705723,0.124481054,-1.13184464,0.133691927
3.017646778,-1.0709561,-0.491237683,0.197940703,-1.310009479,0.283011574
3.755367936,-1.069531009,-0.412164612,0.508920903,-1.643317785,-0.413813443
3.286707003,-0.998159654,-0.449222495,0.423345674,-1.442736046,-0.496768803
2.607950108,-1.179952191,-0.837365218,0.134471811,-1.629697879,-0.944727742
0.74208423,-1.493916066,-1.44580324,-0.847360166,-1.502848835,-0.894954527
0.160265345,-1.743470505,-1.714086873,-1.291570896,-1.555129212,-0.911545599
0.373223651,-1.728600499,-1.695974426,-1.17049681,-1.867962645,-1.674734903
0.152441608,-1.80460924,-1.779456247,-1.300325579,-1.894700875,-1.741099191
-0.859682816,-2.065798028,-2.190912523,-1.886531736,-1.768096192,-1.757690262
-1.670298304,-2.123374036,-2.407713329,-2.2501524,-1.812994298,-1.82405455
-2.570028066,-2.135125195,-2.506910212,-2.624008993,-1.662622299,-1.724508119
-2.026755398,-2.271127926,-2.537629246,-2.565821514,-1.877454138,-1.724508119
-2.45534353,-2.088377542,-2.364133746,-2.679509796,-1.767234498,-1.64155276
-3.98116308,-1.994087922,-2.593165279,-3.134395722,-1.492019787,-1.37609561
